country,risk_score,risk_tier,cases_per_million,case_growth_rate,reproduction_rate,positive_rate,total_vaccinations_per_hundred,population
Luxembourg,8.0,Low,156.84260612850903,0.37714443829551736,0.41,,212.22,647601.0
Canada,7.9,Low,34.09332011433705,0.028000032004608766,0.77,,253.12,38454328.0
Guyana,7.9,Low,1.1923500937717106,-0.23790322580645162,1.05,,118.72,808727.0
Japan,7.9,Low,81.52369290695304,-0.14624873267995941,0.92,,308.79,123951696.0
Marshall Islands,7.9,Low,87.58341891321,0.7850000000000001,0.01,,,41593.0
Nicaragua,7.7,Low,0.28783625571085114,0.781818181818182,0.0,,219.2,6948395.0
South Africa,7.7,Low,6.248551187630444,-0.13937253613666223,0.9,,64.41,59893884.0
Denmark,7.7,Low,18.88244440978008,0.03214488905746271,0.73,,254.2,5882259.0
Cuba,7.7,Low,0.44275758546947835,-0.17820945945945943,0.93,,389.75,11212198.0
Kiribati,7.6,Low,0.5442715958805171,0.75,0.0,,167.62,131237.0
Germany,7.6,Low,97.36563177831627,-0.49256291446490486,1.18,,230.48,83369840.0
Belgium,7.6,Low,128.65929683499598,0.06952085698483401,0.63,,253.41,11655923.0
Panama,7.5,Low,14.841182817643276,0.1128080527594586,0.6,,198.63,4408582.0
Israel,7.5,Low,45.56037675944545,-0.194589744568745,0.9,,197.32,9449000.0
Malaysia,7.4,Low,6.001451915697968,2.505010020037446e-05,0.68,,213.88,33938216.0
Trinidad and Tobago,7.4,Low,56.567413754638416,0.18540502793296088,0.5,,103.26,1531043.0
Czechia,7.4,Low,83.48996493639285,-0.04090523211652741,0.71,,177.55,10493990.0
Guatemala,7.3,Low,10.795997847941722,-0.2688792502517233,0.92,,113.44,17843914.0
Mexico,7.3,Low,24.31574087846842,0.03572816460658457,0.63,,175.02,127504120.0
Armenia,7.3,Low,12.56210148081744,0.757186858316222,-0.07,,77.45,2780472.0
Indonesia,7.0,Low,0.8234338880653259,0.05856585087134558,0.55,,161.27,275501344.0
